DR,PROCESS_ID,PART_ID,LOT_ID,LOTTYPE,QTY,HOLD_FLAG,FLOORID,GRADE,COMPLETE_RATE,LOT_PURPOSE,DUE_DATE,WIPTURN,ROOM,PROCESS_GROUP,STEP_ID,LAYER_TITLE,LAYER_GROUP,BLOCK_GROUP,PRE_STEPGBN2,EQPTYPE,MOVE_0,EQP_WORKLOAD_0,MOVE_1,EQP_WORKLOAD_1,MOVE_2,EQP_WORKLOAD_2,BATCH,Q_E,Q_P,L_E,L_P,Q_H,Q_R,Q_W,L_H,L_R,L_W,Q_2,Q_3,Q_4,Q_5,Q_7,Q_8,Q_10,L_2,L_3,L_4,L_5,L_7,L_8,L_10,WIP_WAITTIME,WIP_PRODUCT_NUM,SHIFT_TYPE,PROCESSTIME,PRC_WAIT_MIN,PRC_WAIT_MAX,PRC_WAIT_MEDIAN,PRC_WAIT_STD,WAITTIME
N8,QG,FN08G7XA2,3C1G1,PP,21,Y,S3,3,0.21,1,140,4.87,ET,SI_RG_KIYO-FX,NV150541,RG,LG32,PU3,SI ADI CD,EFEPLY,6580,62,5000,60.9,3860,58.4,,23,23,7,1,45,1,,7,1,0,,,,,,46,,0,0,0,0,0,8,0,19340.52,7,WD,43.77,1.87,45931.03,440.81,6370.63,507.23
N8,QG,FN08G7XA2,3CWG1,PP,25,Y,S3-E,,0.02,1,158,5.41,ET,SI_FIN-L_KIYO-EXP,NV005405,FN,LG11,PU1,SI ADI CD,EFEPLY,23463,291.2,22872,287.6,15086,299.1,,102,203,11,10,237,,68,16,0,5,,,,,,305,,0,0,0,0,0,21,0,21672.02,7,WD,35.27,1.6,2414.6,15.82,148.04,243.73
N3,C5,FC1978X01,39ZN1,PT,25,Y,S3,,0.4,1,45,12.29,ET,HK_HM_KIYO-FX,CA304600,MS,LG42,PU4,SI REVIEW,EFEPLY,67620,539.9,64620,565.5,84200,625.3,,105,726,22,36,87,328,416,17,16,25,,299,256,272,4,,,0,27,17,12,2,0,0,193.02,11,WO,173.62,1.25,15627.07,218.28,1160.75,804.38
N4,BU,5P9865A02,3AVY1,PT,24,Y,S3-E,,0.33,1,83,8.07,ET,SI_RPG_KIYO-EX,VL240700,EG,LG41,PU4,SI DF,EFEPLY,20279,513.1,23911,522.9,19508,532,,77,139,8,8,161,,55,13,0,3,,38,112,9,28,29,,0,2,6,2,2,4,0,9394.52,11,WG,57.3,1.72,182.77,9.19,16.44,297.7
N5,CT,FK05T2X04,3BUA1,PP,25,Y,S3-B,,0.47,1,104,4.64,ET,HK_HM_KIYO-FX,KB272000,MR,LG42,PU4,KRF_HIGH,EFEPLY,67620,539.9,64620,565.5,84200,625.3,,109,938,21,46,268,331,448,25,15,27,,361,336,346,4,,,0,29,19,16,3,0,0,270.03,13,WO,81.55,1.63,2127.35,58.78,242.23,441.45
N5,CT,FK05T2X04,3BVR1,PP,24,Y,S3-D,,0.47,1,103,4.69,ET,HK_HM_KIYO-FX,KB272000,MR,LG42,PU4,KRF_HIGH,EFEPLY,67620,539.9,64620,565.5,84200,625.3,,104,917,20,45,318,277,426,25,14,26,,379,211,428,3,,,0,29,12,22,2,0,0,294.02,14,WS,128.38,1.63,2127.35,58.78,242.23,320.62
N4,RQ,5E9925G01,3C841,PP,25,Y,S3-D,,0.03,1,137,7.07,ET,SI_FIN_KIYO-EXP,VH014500,FC,LG11,PU1,SI ADI CD,EFEPLY,45816,327.7,37124,323.4,56298,333.5,,182,353,21,17,125,170,240,14,8,16,,10,249,257,19,,,0,2,16,18,2,0,0,1698.52,12,WS,46.28,1.47,5391.88,31.23,729.53,438.72
N3,ZS,5VP03PX01,ZKU31,EB,13,Y,S3-E,2,0.33,1,,,ET,HK_PG_SS-9070KX,NU200301,PU,LG41,PU4,KLA,EFEPLY,418,8,352,8,368,7,,121,,22,0,30,56,35,16,4,2,,121,,,,,,0,22,0,0,0,0,0,15833.52,5,WO,273.45,2.42,6336.9,103.02,744.45,1787.55
N5,CT,FK05T2X04,3C9G1,PP,24,Y,S3-B,,0.05,1,,,ET,SI_FIN_KIYO-EXP,KB019152,FC,LG11,PU1,SI ADI CD,EFEPLY,50075,332.1,46795,326.9,45623,314.6,,129,423,19,22,160,172,220,15,8,18,,10,296,204,42,,,0,2,20,15,4,0,0,1305.87,13,WO,41.93,0.9,1103.92,15.03,102.12,27.06999999
N3,C5,FC1978X01,3BXK1,PT,25,Y,S3-E,1,0.16,1,65,11.97,ET,SI_TJ_KIYO-GX,CA100802,TL,LG31,PU3,SI ADI검사,EFEPLY,14700,147.5,16760,158.7,15340,147.5,,462,490,54,21,328,125,499,41,6,28,,952,,,,,,0,75,0,0,0,0,0,2825.03,10,WD,129.57,2.85,5603.42,213.62,901.68,181.43
N4,RQ,5E9925G01,3BZVA1,PP,4,Y,S3-E,,0.13,1,139,6.25,ET,SI_FIN_MICHELAN-C3,VH061100,BF,LG21,PU2,SI ADI CD,EFEPLY,2991,34,2643,33.8,2130,34,,,249,0,16,20,129,100,6,6,4,,175,74,,,,,0,7,9,0,0,0,0,381.37,2,WO,23.58,2.22,4526.2,32.35,520.7,183.42
N4,RQ,5E9925G01,3AH51,PP,25,Y,S3,,0.43,1,115,4.97,ET,HK_HM_KIYO-FX,VH275600,MR,LG42,PU4,SI ADI CD,EFEPLY,79140,589,80900,561.3,72200,582.1,,297,1292,26,72,147,526,916,20,25,53,,603,475,511,,,,0,37,27,34,0,0,0,217.52,19,HO,157.63,1.58,7661.28,86.58,864.79,251.37
N4,BU,5P9865A02,3CAY1,PP,25,Y,S3-D,,0.03,1,114,8.47,ET,SI_FIN_KIYO-EXP,VL010300,FC,LG11,PU1,SI ADI검사,EFEPLY,60204,333.1,45816,327.7,37124,323.4,,146,707,16,32,200,347,306,17,14,17,,10,648,176,19,,,0,2,32,12,2,0,0,190,14,HO,60.23,1.52,2488.63,17.66,253.12,137.77
N4,RQ,5E9925G01,3BB11,PP,23,Y,S3-B,2,0.28,1,137,5.23,ET,SI_CTHM_KIYO-FX,VH167010,CT,LG33,PU3,DBO,EFEPLY,18500,181.3,15580,181.3,10660,182.5,,104,57,8,4,48,55,58,5,3,4,,20,30,92,19,,,0,2,3,6,1,0,0,701.52,9,WG,159.37,0.37,8693.68,20.15,420.77,247.63
N3,ZP,5VP03MZ01,ZHTSNG,EQ,4,Y,S3-D,2,0.72,N,,,ET,CU_MHM_METAL-FXM-MRT,NU611000,M4,LG62,PU6,ADI검사,EBEMTL,14282,304,15398,303.6,19891,299.2,,189,389,24,33,16,260,302,9,16,32,,210,238,130,,,,0,20,22,15,0,0,0,755.02,17,WO,53.33,2.78,3849.97,120.09,800.2,170.67
N3,ZP,5VP03MZ01,ZHFC1,EB,10,Y,S3-D,1,0.72,1,,,ET,CU_MHM_METAL-FXM-MRT,NU611000,M4,LG62,PU6,CU ADI CD,EBEMTL,16016,311.6,19416,310.4,15014,318.6,,283,928,35,48,49,396,766,13,21,49,,228,354,527,102,,,0,22,28,28,5,0,0,255,24,WS,130.37,2.78,3849.97,120.09,800.2,182.63
N3,ZP,5VP03MZ01,ZHT11,EQ,7,Y,S3,,0.72,1,,,ET,CU_MHM_METAL-FXM-MRT,NU611000,M4,LG62,PU6,ADI검사,EBEMTL,16016,311.6,19416,310.4,15014,318.6,,281,861,35,44,61,401,680,15,22,42,,212,347,506,77,,,0,22,26,27,4,0,0,303,24,WS,137.82,2.78,3849.97,120.09,800.2,768.18
N3,ZP,5VP03MZ01,ZH57G1,EB,2,Y,S3-D,,0.72,1,,,ET,CU_MHM_METAL-FXM-MRT,NU611000,M4,LG62,PU6,ADI검사,EBEMTL,16016,311.6,19416,310.4,15014,318.6,,283,928,35,48,49,396,766,13,21,49,,228,354,527,102,,,0,22,28,28,5,0,0,255,24,WS,38.9,2.78,3849.97,120.09,800.2,713.1
N3,ZU,MLE030X01,ZKY41,ES,24,Y,S3-B,2,0.45,1,,,ET,NI_MC_VIGUS-LK3,NU380303,CA,LG51,PU5,DBO,EFEOXD,12036,184.7,12963,189.1,12858,189.3,,776,475,111,44,437,248,566,65,15,75,,524,276,271,24,156,,0,83,22,29,1,20,0,2226.03,28,WG,184.27,1.6,49876.7,55.35,1910.75,253.73
N3,ZP,5VP03MZ01,ZM1Z1,EB,8,Y,S3,1,0.48,1,,,ET,NI_MC_VIGUS-LK3,NU386300,CX,LG51,PU5,SI ADI CD,EFEOXD,12036,184.7,12963,189.1,12858,189.3,,800,522,114,34,388,413,521,62,21,65,,550,308,332,,132,,0,85,26,18,0,19,0,2726.52,27,WG,92.72,2.58,24989.95,77.6,2772.62,50.28000001
N3,ZP,5VP03MZ01,ZKXGNA,EB,5,Y,S3-B,1,0.47,N,,,ET,NI_MC_VIGUS-LK3,NU380300,CA,LG51,PU5,SI ADI CD,EFEOXD,12858,189.3,12084,182.8,11166,184.9,,748,745,105,47,551,404,538,68,25,59,,728,377,293,18,77,,0,96,26,18,4,8,0,3841.03,24,WO,135.65,2.58,24989.95,77.6,2772.62,335.35
N5,CT,FK05T2X04,3C361,PP,21,Y,S3,,0.14,1,134,5.87,ET,SI_FIN_MICHELAN-C3,KB042600,BF,LG21,PU2,SI ADI CD,EFEPLY,2991,34,2643,33.8,2130,34,,,199,0,14,24,75,100,7,3,4,,150,49,,,,,0,6,8,0,0,0,0,434.17,3,WO,73.27,2.58,883.08,20.02,180,26.73
N4,BU,5P9865A02,3CBD1,PP,25,Y,S3,2,0.04,1,143,6.69,ET,SI_FIN-MDR_KIYO-EXP_TER,VL017002,FX,LG12,PU1,SI ADI CD,EFEPLY,11440,137.6,17134,144,11063,126.4,,94,358,8,16,41,113,298,3,7,14,,,325,127,,,,0,0,17,7,0,0,0,1283.52,6,WG,151.87,2,2678.17,27.02,484.58,473.13
N3,ZP,5VP03MZ01,ZHX21,EQ,24,Y,S3-B,2,0.6,1,,,ET,CU_SAUP_METAL-FXM_MRT,NU491000,I1,LG61,PU6,BEOL REVIEW,EBEMTL,8018,102.9,8502,105.5,9194,112.2,,595,242,112,26,252,119,466,63,9,66,,646,191,,,,,0,109,29,0,0,0,0,3633.02,22,WG,296.27,2.25,6505.92,107.32,875.18,191.73
N3,ZU,MLE030X01,ZKCZN5,EA,1,Y,S3-E,2,0.62,N,,,ET,CU_SAUP_METAL-FXM_MRT,NU531000,I2,LG61,PU6,ADI검사,EBEMTL,8039,104.4,5682,86.6,8498,102.8,,485,117,87,14,176,84,342,55,5,41,,467,135,,,,,0,82,19,0,0,0,0,2942.02,21,WG,89.88,2.02,17094.82,127.96,1043.28,1656.12
N3,ZP,5VP03MZ01,ZK4F1,EB,5,Y,S3-B,,0.68,1,,,ET,CU_MND_METAL-FXM_MRT,NU581000,M3,LG62,PU6,CU ADI CD,EBEMTL,3362,43.5,1367,46.9,3880,49.1,,153,50,30,2,145,8,50,26,1,5,,149,54,,,,,0,27,5,0,0,0,0,10559.02,12,WG,50.77,2.4,1985.5,54.95,317.24,230.23
